Municipi;Codi;Altitud (m);Superfície (km²);Població
Gratallops;430691;321;13,52;232
Gualba;080977;177;23,29;1743
Gualta;170813;15;9,02;428
Guardiola de Berguedà;080996;720;61,73;951
Guiamets, els;430705;226;12,14;256
Guils de Cerdanya;170828;1385;22,02;568
Guimerà;251095;555;25,76;249
Guingueta d'Àneu, la;259031;919;108,42;283
Guissona;251109;484;18,10;7586
Guixers;251116;840;66,44;135
Gurb;081000;516;51,57;2711
Horta de Sant Joan;430712;542;118,99;1157
Hospitalet de Llobregat, l';081017;8;12,40;282299
Hostalets de Pierola, els;081629;361;33,49;3232
Hostalric;170834;189;3,39;4443
Igualada;081022;313;8,11;41755
Isona i Conca Dellà;251155;659;139,37;1042
Isòvol;170849;1088;10,81;330
Ivars d'Urgell;251137;265;24,32;1591
Ivars de Noguera;251121;314;27,14;319
Ivorra;251142;567;15,36;102
Jafre;170852;44;6,64;387
Jonquera, la;170865;110;56,93;3361
Jorba;081038;380;30,90;827
Josa i Tuixén;259101;1206;68,16;123
Juià;170871;94;8,36;345
Juncosa;251180;575;76,49;389
Juneda;251193;264;47,33;3523
Les;251214;634;23,45;1031
Linyola;251229;248;28,66;2737
Llacuna, la;081043;615;52,23;984
Lladó;170887;197;13,50;828
Lladorre;251235;1052;146,98;254
Lladurs;251240;834;128,03;185
Llagosta, la;081056;45;3,03;13070
Llagostera;170890;160;76,38;9486
Llambilles;170904;143;14,58;728
Llanars;170911;983;24,73;515
Llançà;170926;4;27,98;5048
Llardecans;251253;397;66,04;427
Llavorsí;251266;811;68,51;336
Lleida;251207;155;212,30;144878
Llers;170932;142;21,28;1262
Lles de Cerdanya;251272;1471;102,79;288
Lliçà d'Amunt;081075;145;22,33;16225
Lliçà de Vall;081081;125;10,83;6858
Llimiana;251288;790;41,68;132
Llinars del Vallès;081069;198;27,63;10699
Llívia;170947;1224;12,93;1561
Lloar, el;430727;219;6,64;100
Llobera;251291;855;39,23;208
Llorac;430733;648;23,33;102
Llorenç del Penedès;430748;162;4,61;2422
Lloret de Mar;170950;5;48,71;42134
Llosses, les;170963;895;114,02;199
Lluçà;081094;745;52,98;289
Maçanet de Cabrenys;171024;370;67,91;775
Maçanet de la Selva;171030;100;45,58;7972
